StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3_7,Q3_8,Q3_9,Q3_10,Q3_17,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_16_TEXT,Q4_4,Q4_5,Q4_6,Q4_7,Q4_14,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_13_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_8_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_6,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15_28,Q15_29,Q15_30,Q15_31,Q15_32,Q16,Q17,Q18,Path1-LaborVisibility_DO_Q28,Path1-LaborVisibility_DO_Q13,Path1-LaborVisibility_DO_Q12,Path1-LaborVisibility_DO_Q11
2022-01-07 13:42:57,2022-01-07 14:23:06,IP Address,100,2408,True,2022-01-07 14:23:06,R_21H9ytJaoQj4A7L,anonymous,EN,,,,,,,,,,,Something else,Cloud Infrastructure,,Business & productivity applications,Communication technologies,,,,,,,Software infrastructure,,,,,,4 - Most of them,,,,,,4 - Most of them,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,"Social media (e.g. Twitter, Facebook)",,"Presentations (e.g. talks, conferences)",,,,,,,,5 - Extremely satisfied,,,,4 - Often,,,,,,4 - Often,,,,2 - Rarely,,,,,,,,,5 - Extremely satisfied,,,3 - Moderately important,,,"(1) collection of contribution information was automated (git logs, etc.) so that few/no people were forgotten  (2) combination of announced credit (blogs/social media) and automated credit (changelogs) maximizes visbility (3) making assigning credit a documented task (4) special bonus programs (badges, ambassadors, contributor prizes)","Some people are less likely to receive credit based on timezone/location.  For example, when Americans are giving out special credit, they tend to forget about Asians because they don't see them in meetings a lot.  Also, company loyalty messed up crediting people on multiple occasions.","The project I'm currently working on has specific credit programs to ensure that people get credit.  Most open source projects do not have these, which results in a lot of people doing uncredited work (and eventually leaving).  Also, projects that don't have a strong social/media presence struggle to give credit to contributors in any visible way, since nobody outside the project notices.",1,4,3,2
2022-01-07 14:32:52,2022-01-07 14:35:37,IP Address,100,165,True,2022-01-07 14:35:37,R_1N4Zv9tTdUXZah2,anonymous,EN,,,,,Libraries,,Applications,,,Web-related,,,,Business & productivity applications,Communication technologies,,,,,,,Software infrastructure,,,,,3 - Some of them,,,,,,3 - Some of them,,,,,,,,,,,Something else,,"Chat messages ",,,,4 - Satisfied,,,,3 - Sometimes,,,,,,3 - Sometimes,,,,,,,4 - Often,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Moderately important,,,,,,1,2,3,4
2022-01-07 16:15:34,2022-01-07 16:20:27,IP Address,100,293,True,2022-01-07 16:20:27,R_2pSq1fx2UcoTMHs,anonymous,EN,Hardware,,,,,,,,,,,,,,,,,,,,,Software infrastructure,,,,,,,5 - All of them,,,,,4 - Most of them,,,,,,,,,,,,,,,,4 - Satisfied,,,,,4 - Often,,,,,,4 - Often,,,,,,4 - Often,,,,,,4 - Satisfied,,,,,4 - Very important,,,,,1,2,3,4
2022-01-09 08:13:47,2022-01-09 08:16:33,IP Address,100,165,True,2022-01-09 08:16:33,R_33eWpKJdFt9XRbv,anonymous,EN,,,,Frameworks,Libraries,Packages,,Data science,,,,,,,,,,,,,,Software infrastructure,,,,,,,,I'm not sure,,,,,,I’m not sure,Automated metrics (e.g. GitHub Contributors),,,,,"Blogs (e.g. Medium, personal websites)",,,,,,,,4 - Satisfied,,,,,4 - Often,,,,,,4 - Often,,,,2 - Rarely,,,,,,,,4 - Satisfied,,,,,4 - Very important,,,,,1,2,3,4
2022-01-10 14:01:25,2022-01-10 14:04:02,IP Address,100,156,True,2022-01-10 14:04:02,R_1C4poL1KbChOmEe,anonymous,EN,,,Languages,Frameworks,Libraries,Packages,,Data science,Scripts,Web-related,,,Browsers,,Communication technologies,Content management,,,,,Scientific research,Software infrastructure,,,,2 - Few of them,,,,,,2 - Few of them,,,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,"Social media (e.g. Twitter, Facebook)",,,,,,,2 - Dissatisfied,,,,,2 - Rarely,,,,,,2 - Rarely,,,,,,,,4 - Often,,,,2 - Dissatisfied,,,,,,,4 - Very important,,,,,1,2,3,4
2022-01-10 14:23:22,2022-01-10 14:26:08,IP Address,100,165,True,2022-01-10 14:26:08,R_12SaPdI7m4rRSOG,anonymous,EN,,,Languages,,Libraries,Packages,Applications,,,,,,,,,,,,,,,Software infrastructure,,,,,,,5 - All of them,,,,,4 - Most of them,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),,,,,,,,,,,3 - Neither satisfied nor dissatisfied,,,,,,4 - Often,,,,,,4 - Often,,,,2 - Rarely,,,,,,,,4 - Satisfied,,,,,4 - Very important,,,,,1,2,3,4
2022-01-10 14:21:39,2022-01-10 14:27:10,IP Address,100,330,True,2022-01-10 14:27:10,R_1qfVMBdTWwFT6ix,anonymous,EN,,Operating systems,,Frameworks,Libraries,Packages,Applications,,Scripts,Web-related,,,,,,Content management,Education,,,,,Software infrastructure,,,,2 - Few of them,,,,,,2 - Few of them,,,,,,,,,"Social media (e.g. Twitter, Facebook)",,,,,,,,,4 - Satisfied,,1 - Never,,,,,,,2 - Rarely,,,,,,,,4 - Often,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Moderately important,,,People were genuine in the feedback,"Social media is ephemeral might  be nice to be able to have something ",,1,2,3,4
2022-01-10 14:41:20,2022-01-10 14:44:58,IP Address,100,217,True,2022-01-10 14:44:58,R_3hApOnLea3h01XN,anonymous,EN,,,,,Libraries,Packages,,,,,Something else,Language Static Analysis Tools,,Business & productivity applications,,,Education,,,,,Software infrastructure,,,,2 - Few of them,,,,,,2 - Few of them,,,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,"Social media (e.g. Twitter, Facebook)",,,,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Sometimes,,,,,,,4 - Often,,,,,3 - Sometimes,,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Moderately important,,,,,,1,4,3,2
2022-01-10 14:43:02,2022-01-10 14:45:32,IP Address,100,149,True,2022-01-10 14:45:33,R_1eDZsEpcFc4Ox2d,anonymous,EN,,,,,Libraries,,,,,,,,,,Communication technologies,,,,,,,Software infrastructure,,,,2 - Few of them,,,,,,,3 - Some of them,,,,Automated metrics (e.g. GitHub Contributors),,"Project documentation (e.g. acknowledgements lists, release notes)",,"Social media (e.g. Twitter, Facebook)","Blogs (e.g. Medium, personal websites)","Presentations (e.g. talks, conferences)",,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Sometimes,,,,,,,4 - Often,,,,,,4 - Often,,,,,3 - Neither satisfied nor dissatisfied,,,,2 - Slightly important,,,,,,,1,4,3,2
2022-01-10 14:46:28,2022-01-10 14:49:25,IP Address,100,176,True,2022-01-10 14:49:25,R_BKQJ8GTm7Fhab7P,anonymous,EN,,,,,,,Applications,,Scripts,,,,,,,,,Entertainment,,,,Software infrastructure,,,1 - None of them,,,,,,1 - None of them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - Extremely satisfied,1 - Not at all important,,,,,Credit works when there's a small group and the project is small.,"Too many projects give credit to a small group, making it hard for the project to bring in new people.",,,,,
2022-01-10 14:48:14,2022-01-10 14:50:55,IP Address,100,161,True,2022-01-10 14:50:56,R_2xK3scC0Y1U694x,anonymous,EN,,,,,Libraries,,,,,Web-related,,,Browsers,Business & productivity applications,,Content management,Education,,,Publishing,,Software infrastructure,,,,,3 - Some of them,,,,,,3 - Some of them,,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)","Standardized tools (e.g. All Contributors, CRediT)",,,"Presentations (e.g. talks, conferences)",,,,,,,4 - Satisfied,,,,3 - Sometimes,,,,,,,4 - Often,,,,,3 - Sometimes,,,,,,,4 - Satisfied,,,,3 - Moderately important,,,,,,1,2,3,4
2022-01-10 14:47:50,2022-01-10 14:52:50,IP Address,100,300,True,2022-01-10 14:52:51,R_2CNZsspdu2U5h48,anonymous,EN,,,,,Libraries,Packages,Applications,,,,,,,,,Content management,,,,Publishing,,Software infrastructure,,,1 - None of them,,,,,,1 - None of them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - Extremely satisfied,1 - Not at all important,,,,,Notifications to the mailing list.,"I mean if they gave credit, it worked. Why would I complain about how WELL someone did it. That seems a bit narcissistic. It's the effort of recognition, not the results that count.","If you come across anyone contributing to open source where recognition is important, they are the problem with open source. I contribute because I want to, because I need the feature, or because I want to see if I can do something. That's how OS started. I stop contributing when I want to for my own reasons, not because I'm not getting enough street cred or recognition.  ",,,,
